t:1.84, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.85, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.86, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.87, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.88, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.89, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.90, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.91, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.92, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.93, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.94, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.95, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.96, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.97, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.98, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:1.99, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:2.00, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.973, theta2:2.262, e:-0.000
t:2.01, r:-25.00, omega:0.00, omega_m:-15.80, u:-424.83, theta1:16.993, theta2:2.262, e:15.803
t:2.02, r:-25.00, omega:-0.53, omega_m:-21.62, u:-424.30, theta1:17.020, theta2:2.262, e:21.090
t:2.03, r:-25.00, omega:-0.53, omega_m:-23.76, u:-425.03, theta1:17.049, theta2:2.261, e:23.229
t:2.04, r:-25.00, omega:-0.53, omega_m:-24.54, u:-425.78, theta1:17.079, theta2:2.261, e:24.016
t:2.05, r:-25.00, omega:-17.62, omega_m:-24.83, u:-387.46, theta1:17.088, theta2:2.254, e:7.207
t:2.06, r:-25.00, omega:-17.62, omega_m:-24.94, u:-387.80, theta1:17.097, theta2:2.248, e:7.313
t:2.07, r:-25.00, omega:-25.45, omega_m:-24.98, u:-370.17, theta1:17.096, theta2:2.248, e:-0.477
t:2.08, r:-25.00, omega:-25.45, omega_m:-24.99, u:-370.14, theta1:17.096, theta2:2.249, e:-0.463
t:2.09, r:-25.00, omega:-26.49, omega_m:-25.00, u:-367.72, theta1:17.094, theta2:2.251, e:-1.492
t:2.10, r:-25.00, omega:-26.49, omega_m:-25.00, u:-367.62, theta1:17.092, theta2:2.253, e:-1.490
t:2.11, r:-25.00, omega:-27.50, omega_m:-25.00, u:-365.17, theta1:17.089, theta2:2.256, e:-2.500
t:2.12, r:-25.00, omega:-27.50, omega_m:-25.00, u:-364.99, theta1:17.086, theta2:2.260, e:-2.500
t:2.13, r:-25.00, omega:-27.63, omega_m:-25.00, u:-364.51, theta1:17.082, theta2:2.264, e:-2.632
