t:1.65, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.66, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.67, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.68, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.69, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.70, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.71, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.72, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.73, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.74, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.75, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.76, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.77, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.78, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.79, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.80, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.81, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.82, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.83, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.84, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.85, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.86, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.87, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.88, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.89, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.90, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.91, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.92, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.93, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.94, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.95, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.96, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.97, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.98, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:1.99, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:2.00, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:16.680, theta2:2.665, e:-0.000
t:2.01, r:-25.00, omega:0.00, omega_m:-15.80, u:-417.44, theta1:16.697, theta2:2.665, e:15.803
t:2.02, r:-25.00, omega:0.00, omega_m:-21.62, u:-418.02, theta1:16.721, theta2:2.664, e:21.617
t:2.03, r:-25.00, omega:0.00, omega_m:-23.76, u:-418.66, theta1:16.747, theta2:2.664, e:23.755
t:2.04, r:-25.00, omega:-0.51, omega_m:-24.54, u:-417.94, theta1:16.773, theta2:2.663, e:24.028
t:2.05, r:-25.00, omega:-0.51, omega_m:-24.83, u:-418.60, theta1:16.799, theta2:2.661, e:24.317
t:2.06, r:-25.00, omega:-21.44, omega_m:-24.94, u:-363.09, theta1:16.803, theta2:2.657, e:3.499
t:2.07, r:-25.00, omega:-21.44, omega_m:-24.98, u:-363.27, theta1:16.806, theta2:2.654, e:3.538
t:2.08, r:-25.00, omega:-25.75, omega_m:-24.99, u:-351.78, theta1:16.805, theta2:2.655, e:-0.758
t:2.09, r:-25.00, omega:-25.75, omega_m:-25.00, u:-351.73, theta1:16.804, theta2:2.655, e:-0.753
t:2.10, r:-25.00, omega:-26.03, omega_m:-25.00, u:-350.91, theta1:16.803, theta2:2.657, e:-1.033
t:2.11, r:-25.00, omega:-26.03, omega_m:-25.00, u:-350.84, theta1:16.801, theta2:2.658, e:-1.032
t:2.12, r:-25.00, omega:-27.02, omega_m:-25.00, u:-348.06, theta1:16.799, theta2:2.661, e:-2.025
t:2.13, r:-25.00, omega:-27.02, omega_m:-25.00, u:-347.91, theta1:16.796, theta2:2.663, e:-2.025
t:2.14, r:-25.00, omega:-26.22, omega_m:-25.00, u:-349.97, theta1:16.794, theta2:2.665, e:-1.222
t:2.15, r:-25.00, omega:-26.22, omega_m:-25.00, u:-349.88, theta1:16.792, theta2:2.667, e:-1.222
t:2.16, r:-25.00, omega:-23.62, omega_m:-25.00, u:-356.88, theta1:16.794, theta2:2.665, e:1.375
t:2.17, r:-25.00, omega:-23.62, omega_m:-25.00, u:-356.96, theta1:16.795, theta2:2.663, e:1.375
t:2.18, r:-25.00, omega:-26.60, omega_m:-25.00, u:-348.92, theta1:16.793, theta2:2.665, e:-1.600
t:2.19, r:-25.00, omega:-26.60, omega_m:-25.00, u:-348.81, theta1:16.791, theta2:2.667, e:-1.600
t:2.20, r:-25.00, omega:-26.60, omega_m:-25.00, u:-348.70, theta1:16.788, theta2:2.670, e:-1.600
t:2.21, r:-25.00, omega:-24.10, omega_m:-25.00, u:-355.42, theta1:16.789, theta2:2.668, e:0.898
t:2.22, r:-25.00, omega:-24.10, omega_m:-25.00, u:-355.47, theta1:16.790, theta2:2.667, e:0.898
t:2.23, r:-25.00, omega:-24.05, omega_m:-25.00, u:-355.66, theta1:16.791, theta2:2.666, e:0.951
t:2.24, r:-25.00, omega:-24.05, omega_m:-25.00, u:-355.72, theta1:16.792, theta2:2.665, e:0.951
t:2.25, r:-25.00, omega:-26.10, omega_m:-25.00, u:-350.17, theta1:16.791, theta2:2.666, e:-1.104
t:2.26, r:-25.00, omega:-26.10, omega_m:-25.00, u:-350.09, theta1:16.789, theta2:2.668, e:-1.104
t:2.27, r:-25.00, omega:-26.11, omega_m:-25.00, u:-350.01, theta1:16.788, theta2:2.669, e:-1.106
t:2.28, r:-25.00, omega:-26.11, omega_m:-25.00, u:-349.93, theta1:16.786, theta2:2.671, e:-1.106
t:2.29, r:-25.00, omega:-24.17, omega_m:-25.00, u:-355.15, theta1:16.787, theta2:2.670, e:0.830
t:2.30, r:-25.00, omega:-24.17, omega_m:-25.00, u:-355.20, theta1:16.788, theta2:2.669, e:0.830
t:2.31, r:-25.00, omega:-24.99, omega_m:-25.00, u:-353.01, theta1:16.788, theta2:2.669, e:0.011
t:2.32, r:-25.00, omega:-24.99, omega_m:-25.00, u:-353.01, theta1:16.788, theta2:2.669, e:0.011
t:2.33, r:-25.00, omega:-26.95, omega_m:-25.00, u:-347.63, theta1:16.785, theta2:2.671, e:-1.954
t:2.34, r:-25.00, omega:-26.95, omega_m:-25.00, u:-347.49, theta1:16.782, theta2:2.674, e:-1.954
t:2.35, r:-25.00, omega:-24.27, omega_m:-25.00, u:-354.71, theta1:16.783, theta2:2.673, e:0.730
t:2.36, r:-25.00, omega:-24.27, omega_m:-25.00, u:-354.75, theta1:16.784, theta2:2.672, e:0.730
t:2.37, r:-25.00, omega:-24.63, omega_m:-25.00, u:-353.80, theta1:16.784, theta2:2.671, e:0.367
t:2.38, r:-25.00, omega:-24.63, omega_m:-25.00, u:-353.82, theta1:16.785, theta2:2.671, e:0.367
t:2.39, r:-25.00, omega:-26.33, omega_m:-25.00, u:-349.21, theta1:16.783, theta2:2.673, e:-1.326
t:2.40, r:-25.00, omega:-26.33, omega_m:-25.00, u:-349.12, theta1:16.781, theta2:2.674, e:-1.326
t:2.41, r:-25.00, omega:-25.62, omega_m:-25.00, u:-350.97, theta1:16.780, theta2:2.675, e:-0.619
t:2.42, r:-25.00, omega:-25.62, omega_m:-25.00, u:-350.93, theta1:16.779, theta2:2.676, e:-0.619
t:2.43, r:-25.00, omega:-23.99, omega_m:-25.00, u:-355.35, theta1:16.780, theta2:2.675, e:1.013
t:2.44, r:-25.00, omega:-23.99, omega_m:-25.00, u:-355.41, theta1:16.781, theta2:2.673, e:1.013
t:2.45, r:-25.00, omega:-23.99, omega_m:-25.00, u:-355.46, theta1:16.783, theta2:2.672, e:1.013
t:2.46, r:-25.00, omega:-24.74, omega_m:-25.00, u:-353.47, theta1:16.783, theta2:2.672, e:0.262
t:2.47, r:-25.00, omega:-24.74, omega_m:-25.00, u:-353.49, theta1:16.783, theta2:2.672, e:0.262
t:2.48, r:-25.00, omega:-25.20, omega_m:-25.00, u:-352.24, theta1:16.783, theta2:2.672, e:-0.198
