t:6.55, r:-25.00, omega:-28.03, omega_m:-25.00, u:-359.23, theta1:17.929, theta2:3.175, e:-3.030
t:6.56, r:-25.00, omega:-24.06, omega_m:-25.00, u:-371.89, theta1:17.931, theta2:3.174, e:0.939
t:6.57, r:-25.00, omega:-24.06, omega_m:-25.00, u:-371.95, theta1:17.932, theta2:3.173, e:0.939
t:6.58, r:-25.00, omega:-27.62, omega_m:-25.00, u:-360.46, theta1:17.928, theta2:3.177, e:-2.623
t:6.59, r:-25.00, omega:-27.62, omega_m:-25.00, u:-360.28, theta1:17.925, theta2:3.180, e:-2.623
t:6.60, r:-25.00, omega:-27.24, omega_m:-25.00, u:-361.33, theta1:17.922, theta2:3.184, e:-2.244
t:6.61, r:-25.00, omega:-27.24, omega_m:-25.00, u:-361.18, theta1:17.920, theta2:3.187, e:-2.244
t:6.62, r:-25.00, omega:-25.05, omega_m:-25.00, u:-368.18, theta1:17.920, theta2:3.187, e:-0.045
t:6.63, r:-25.00, omega:-25.05, omega_m:-25.00, u:-368.18, theta1:17.919, theta2:3.187, e:-0.045
t:6.64, r:-25.00, omega:-26.23, omega_m:-25.00, u:-364.32, theta1:17.918, theta2:3.188, e:-1.231
t:6.65, r:-25.00, omega:-27.44, omega_m:-25.00, u:-360.29, theta1:17.915, theta2:3.192, e:-2.441
t:6.66, r:-25.00, omega:-27.44, omega_m:-25.00, u:-360.12, theta1:17.912, theta2:3.195, e:-2.441
t:6.67, r:-25.00, omega:-27.09, omega_m:-25.00, u:-361.11, theta1:17.909, theta2:3.198, e:-2.086
t:6.68, r:-25.00, omega:-27.09, omega_m:-25.00, u:-360.97, theta1:17.907, theta2:3.201, e:-2.086
t:6.69, r:-25.00, omega:-25.84, omega_m:-25.00, u:-364.92, theta1:17.906, theta2:3.202, e:-0.836
t:6.70, r:-25.00, omega:-25.84, omega_m:-25.00, u:-364.86, theta1:17.905, theta2:3.203, e:-0.836
t:6.71, r:-25.00, omega:-25.84, omega_m:-25.00, u:-364.81, theta1:17.903, theta2:3.204, e:-0.836
t:6.72, r:-25.00, omega:-25.59, omega_m:-25.00, u:-365.57, theta1:17.903, theta2:3.205, e:-0.586
t:6.73, r:-25.00, omega:-26.41, omega_m:-25.00, u:-362.84, theta1:17.901, theta2:3.207, e:-1.411
t:6.74, r:-25.00, omega:-26.41, omega_m:-25.00, u:-362.74, theta1:17.899, theta2:3.208, e:-1.411
t:6.75, r:-25.00, omega:-26.65, omega_m:-25.00, u:-361.86, theta1:17.897, theta2:3.211, e:-1.652
t:6.76, r:-25.00, omega:-26.65, omega_m:-25.00, u:-361.75, theta1:17.895, theta2:3.213, e:-1.652
t:6.77, r:-25.00, omega:-27.60, omega_m:-25.00, u:-358.52, theta1:17.892, theta2:3.216, e:-2.601
t:6.78, r:-25.00, omega:-27.60, omega_m:-25.00, u:-358.34, theta1:17.889, theta2:3.220, e:-2.601
t:6.79, r:-25.00, omega:-26.77, omega_m:-25.00, u:-360.90, theta1:17.886, theta2:3.222, e:-1.769
t:6.80, r:-25.00, omega:-26.77, omega_m:-25.00, u:-360.78, theta1:17.884, theta2:3.225, e:-1.769
t:6.81, r:-25.00, omega:-25.04, omega_m:-25.00, u:-366.35, theta1:17.884, theta2:3.225, e:-0.043
t:6.82, r:-25.00, omega:-25.04, omega_m:-25.00, u:-366.34, theta1:17.884, theta2:3.225, e:-0.043
t:6.83, r:-25.00, omega:-26.39, omega_m:-25.00, u:-361.91, theta1:17.882, theta2:3.227, e:-1.388
t:6.84, r:-25.00, omega:-26.39, omega_m:-25.00, u:-361.82, theta1:17.881, theta2:3.228, e:-1.388
t:6.85, r:-25.00, omega:-26.92, omega_m:-25.00, u:-359.99, theta1:17.878, theta2:3.231, e:-1.916
t:6.86, r:-25.00, omega:-26.92, omega_m:-25.00, u:-359.86, theta1:17.876, theta2:3.234, e:-1.916
t:6.87, r:-25.00, omega:-26.36, omega_m:-25.00, u:-361.56, theta1:17.874, theta2:3.235, e:-1.363
t:6.88, r:-25.00, omega:-26.36, omega_m:-25.00, u:-361.47, theta1:17.872, theta2:3.237, e:-1.363
t:6.89, r:-25.00, omega:-25.89, omega_m:-25.00, u:-362.94, theta1:17.871, theta2:3.238, e:-0.891
t:6.90, r:-25.00, omega:-25.89, omega_m:-25.00, u:-362.88, theta1:17.870, theta2:3.240, e:-0.891
t:6.91, r:-25.00, omega:-25.66, omega_m:-25.00, u:-363.60, theta1:17.869, theta2:3.240, e:-0.657
t:6.92, r:-25.00, omega:-25.66, omega_m:-25.00, u:-363.56, theta1:17.869, theta2:3.241, e:-0.657
t:6.93, r:-25.00, omega:-25.95, omega_m:-25.00, u:-362.55, theta1:17.867, theta2:3.242, e:-0.948
t:6.94, r:-25.00, omega:-25.95, omega_m:-25.00, u:-362.49, theta1:17.866, theta2:3.244, e:-0.948
t:6.95, r:-25.00, omega:-27.49, omega_m:-25.00, u:-357.33, theta1:17.863, theta2:3.247, e:-2.486
t:6.96, r:-25.00, omega:-27.49, omega_m:-25.00, u:-357.16, theta1:17.860, theta2:3.250, e:-2.486
t:6.97, r:-25.00, omega:-27.46, omega_m:-25.00, u:-357.09, theta1:17.857, theta2:3.254, e:-2.455
t:6.98, r:-25.00, omega:-27.46, omega_m:-25.00, u:-356.92, theta1:17.854, theta2:3.257, e:-2.455
t:6.99, r:-25.00, omega:-25.46, omega_m:-25.00, u:-363.40, theta1:17.853, theta2:3.258, e:-0.456
t:7.00, r:-25.00, omega:-25.46, omega_m:-25.00, u:-363.37, theta1:17.853, theta2:3.258, e:-0.456
t:7.01, r:0.00, omega:-25.77, omega_m:-20.47, u:0.00, theta1:17.853, theta2:3.265, e:-5.306
t:7.02, r:0.00, omega:-25.77, omega_m:-16.76, u:0.00, theta1:17.853, theta2:3.277, e:-9.016
t:7.03, r:0.00, omega:-25.77, omega_m:-13.72, u:0.00, theta1:17.853, theta2:3.292, e:-12.054
t:7.04, r:0.00, omega:-18.02, omega_m:-11.23, u:0.00, theta1:17.853, theta2:3.298, e:-6.782
t:7.05, r:0.00, omega:-18.02, omega_m:-9.20, u:0.00, theta1:17.853, theta2:3.306, e:-8.818
t:7.06, r:0.00, omega:-18.02, omega_m:-7.53, u:0.00, theta1:17.853, theta2:3.316, e:-10.486
t:7.07, r:0.00, omega:-18.02, omega_m:-6.16, u:0.00, theta1:17.853, theta2:3.327, e:-11.850
t:7.08, r:0.00, omega:-18.02, omega_m:-5.05, u:0.00, theta1:17.853, theta2:3.338, e:-12.968
t:7.09, r:0.00, omega:-18.02, omega_m:-4.13, u:0.00, theta1:17.853, theta2:3.351, e:-13.883
t:7.10, r:0.00, omega:-18.02, omega_m:-3.38, u:0.00, theta1:17.853, theta2:3.364, e:-14.632
t:7.11, r:0.00, omega:-18.02, omega_m:-2.77, u:0.00, theta1:17.853, theta2:3.378, e:-15.245
t:7.12, r:0.00, omega:-18.02, omega_m:-2.27, u:0.00, theta1:17.853, theta2:3.392, e:-15.747
t:7.13, r:0.00, omega:-18.02, omega_m:-1.86, u:0.00, theta1:17.853, theta2:3.406, e:-16.159
t:7.14, r:0.00, omega:-18.02, omega_m:-1.52, u:0.00, theta1:17.853, theta2:3.421, e:-16.495
t:7.15, r:0.00, omega:-18.02, omega_m:-1.24, u:0.00, theta1:17.853, theta2:3.436, e:-16.771
t:7.16, r:0.00, omega:-18.02, omega_m:-1.02, u:0.00, theta1:17.853, theta2:3.452, e:-16.996
t:7.17, r:0.00, omega:-18.02, omega_m:-0.83, u:0.00, theta1:17.853, theta2:3.467, e:-17.181
t:7.18, r:0.00, omega:-18.02, omega_m:-0.68, u:0.00, theta1:17.853, theta2:3.483, e:-17.332
t:7.19, r:0.00, omega:-18.02, omega_m:-0.56, u:0.00, theta1:17.853, theta2:3.498, e:-17.456
t:7.20, r:0.00, omega:-18.02, omega_m:-0.46, u:0.00, theta1:17.853, theta2:3.514, e:-17.557
t:7.21, r:0.00, omega:-18.02, omega_m:-0.37, u:0.00, theta1:17.853, theta2:3.530, e:-17.640
t:7.22, r:0.00, omega:-18.02, omega_m:-0.31, u:0.00, theta1:17.853, theta2:3.546, e:-17.708
t:7.23, r:0.00, omega:-18.02, omega_m:-0.25, u:0.00, theta1:17.853, theta2:3.562, e:-17.764
t:7.24, r:0.00, omega:-18.02, omega_m:-0.21, u:0.00, theta1:17.853, theta2:3.578, e:-17.810
t:7.25, r:0.00, omega:-18.02, omega_m:-0.17, u:0.00, theta1:17.853, theta2:3.594, e:-17.847
t:7.26, r:0.00, omega:-18.02, omega_m:-0.14, u:0.00, theta1:17.853, theta2:3.610, e:-17.877
t:7.27, r:0.00, omega:-18.02, omega_m:-0.11, u:0.00, theta1:17.853, theta2:3.626, e:-17.902
t:7.28, r:0.00, omega:-18.02, omega_m:-0.09, u:0.00, theta1:17.853, theta2:3.643, e:-17.923
t:7.29, r:0.00, omega:-18.02, omega_m:-0.08, u:0.00, theta1:17.853, theta2:3.659, e:-17.940
t:7.30, r:0.00, omega:-18.02, omega_m:-0.06, u:0.00, theta1:17.853, theta2:3.675, e:-17.953
t:7.31, r:0.00, omega:-18.02, omega_m:-0.05, u:0.00, theta1:17.853, theta2:3.691, e:-17.965
t:7.32, r:0.00, omega:-18.02, omega_m:-0.04, u:0.00, theta1:17.853, theta2:3.707, e:-17.974
