t:2.25, r:-10.00, omega:-10.86, omega_m:-10.00, u:-169.85, theta1:17.404, theta2:0.386, e:-0.858
t:2.26, r:-10.00, omega:-10.86, omega_m:-10.00, u:-169.83, theta1:17.403, theta2:0.386, e:-0.858
t:2.27, r:-10.00, omega:-10.86, omega_m:-10.00, u:-169.82, theta1:17.402, theta2:0.387, e:-0.858
t:2.28, r:-10.00, omega:-11.45, omega_m:-10.00, u:-169.58, theta1:17.401, theta2:0.388, e:-1.451
t:2.29, r:-10.00, omega:-11.45, omega_m:-10.00, u:-169.56, theta1:17.400, theta2:0.388, e:-1.451
t:2.30, r:-10.00, omega:-11.45, omega_m:-10.00, u:-169.54, theta1:17.399, theta2:0.389, e:-1.451
t:2.31, r:-10.00, omega:-11.45, omega_m:-10.00, u:-169.52, theta1:17.398, theta2:0.390, e:-1.451
t:2.32, r:-10.00, omega:-11.27, omega_m:-10.00, u:-169.57, theta1:17.398, theta2:0.391, e:-1.268
t:2.33, r:-10.00, omega:-11.27, omega_m:-10.00, u:-169.56, theta1:17.397, theta2:0.391, e:-1.268
t:2.34, r:-10.00, omega:-11.27, omega_m:-10.00, u:-169.54, theta1:17.396, theta2:0.392, e:-1.268
t:2.35, r:-10.00, omega:-11.27, omega_m:-10.00, u:-169.52, theta1:17.395, theta2:0.393, e:-1.268
t:2.36, r:-10.00, omega:-11.27, omega_m:-10.00, u:-169.51, theta1:17.394, theta2:0.394, e:-1.268
t:2.37, r:-10.00, omega:-10.63, omega_m:-10.00, u:-169.75, theta1:17.394, theta2:0.394, e:-0.631
t:2.38, r:-10.00, omega:-10.63, omega_m:-10.00, u:-169.74, theta1:17.393, theta2:0.394, e:-0.631
t:2.39, r:-10.00, omega:-10.63, omega_m:-10.00, u:-169.73, theta1:17.393, theta2:0.395, e:-0.631
t:2.40, r:-10.00, omega:-10.63, omega_m:-10.00, u:-169.73, theta1:17.392, theta2:0.395, e:-0.631
t:2.41, r:-10.00, omega:-10.63, omega_m:-10.00, u:-169.72, theta1:17.392, theta2:0.395, e:-0.631
t:2.42, r:-10.00, omega:-11.58, omega_m:-10.00, u:-169.32, theta1:17.391, theta2:0.396, e:-1.580
